n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
22, 7, NAN, 4.18kb, 0.000025sec, RES=1312kb, VmSize=3700kb, 0.001843sec, 3928
22, 8, NAN, 8.27kb, 0.000049sec, RES=1312kb, VmSize=3700kb, 0.018849sec, 40783
22, 9, NAN, 16.46kb, 0.000099sec, RES=1312kb, VmSize=3700kb, 0.007988sec, 17116
22, 10, NAN, 32.85kb, 0.000196sec, RES=1312kb, VmSize=3700kb, 0.000785sec, 1250
22, 11, NAN, 65.62kb, 0.000411sec, RES=1312kb, VmSize=3844kb, 0.000411, 0
23, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3844kb, 7.397502sec, 16181083
23, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3844kb, 2.380751sec, 5195409
23, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3844kb, 0.185527sec, 402658
23, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3844kb, 0.055393sec, 120310
23, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3844kb, 0.017761sec, 38576
23, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3844kb, 0.018202sec, 39453
23, 7, NAN, 4.18kb, 0.000027sec, RES=1312kb, VmSize=3844kb, 0.027665sec, 58879
23, 8, NAN, 8.27kb, 0.000051sec, RES=1312kb, VmSize=3844kb, 0.009752sec, 20950
23, 9, NAN, 16.46kb, 0.000102sec, RES=1312kb, VmSize=3844kb, 0.001482sec, 2979
23, 10, NAN, 32.85kb, 0.000205sec, RES=2456kb, VmSize=3844kb, 0.000350sec, 296
23, 11, NAN, 65.62kb, 0.000416sec, RES=2456kb, VmSize=3844kb, 0.003748sec, 7200
24, 1, NAN, 0.14kb, 0.000000sec, RES=2456kb, VmSize=3844kb, 6.548506sec, 14328434
24, 2, NAN, 0.21kb, 0.000002sec, RES=2456kb, VmSize=3844kb, 1.418886sec, 3089187
24, 3, NAN, 0.34kb, 0.000002sec, RES=2456kb, VmSize=3844kb, 2.400981sec, 5218106
24, 4, NAN, 0.59kb, 0.000003sec, RES=2456kb, VmSize=3844kb, 0.213512sec, 462537
24, 5, NAN, 1.10kb, 0.000007sec, RES=2456kb, VmSize=3844kb, 0.064789sec, 140613
24, 6, NAN, 2.13kb, 0.000012sec, RES=2456kb, VmSize=3844kb, 0.181587sec, 393336
24, 7, NAN, 4.18kb, 0.000025sec, RES=2456kb, VmSize=3844kb, 0.062792sec, 135973
24, 8, NAN, 8.27kb, 0.000050sec, RES=2456kb, VmSize=3844kb, 0.010778sec, 23005
