n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
22, 10, NAN, 49.23kb, 0.000042sec, RES=1388kb, VmSize=190040kb, 0.000066sec, 0, 1023
22, 11, NAN, 98.38kb, 0.000099sec, RES=2792kb, VmSize=190040kb, 0.000125sec, 0, 2047
23, 1, NAN, 0.18kb, 0.000000sec, RES=2792kb, VmSize=190040kb, 0.000026sec, 0, 1
23, 2, NAN, 0.27kb, 0.000001sec, RES=2792kb, VmSize=190040kb, 0.000026sec, 0, 3
23, 3, NAN, 0.46kb, 0.000001sec, RES=2792kb, VmSize=190040kb, 0.000027sec, 0, 7
23, 4, NAN, 0.85kb, 0.000001sec, RES=2792kb, VmSize=190040kb, 0.000026sec, 0, 15
23, 5, NAN, 1.62kb, 0.000002sec, RES=2792kb, VmSize=190040kb, 0.000027sec, 0, 31
23, 6, NAN, 3.15kb, 0.000003sec, RES=2792kb, VmSize=190040kb, 0.000029sec, 0, 63
23, 7, NAN, 6.22kb, 0.000005sec, RES=2792kb, VmSize=190040kb, 0.000030sec, 0, 127
23, 8, NAN, 12.37kb, 0.000010sec, RES=2792kb, VmSize=190040kb, 0.000036sec, 0, 255
23, 9, NAN, 24.66kb, 0.000021sec, RES=2792kb, VmSize=190040kb, 0.000045sec, 0, 511
23, 10, NAN, 49.23kb, 0.000043sec, RES=2792kb, VmSize=190040kb, 0.000067sec, 0, 1023
23, 11, NAN, 98.38kb, 0.000088sec, RES=2792kb, VmSize=190040kb, 0.000114sec, 0, 2047
24, 1, NAN, 0.18kb, 0.000000sec, RES=2792kb, VmSize=190040kb, 0.000025sec, 0, 1
24, 2, NAN, 0.27kb, 0.000000sec, RES=2792kb, VmSize=190040kb, 0.000027sec, 0, 3
24, 3, NAN, 0.46kb, 0.000001sec, RES=2792kb, VmSize=190040kb, 0.000026sec, 0, 7
24, 4, NAN, 0.85kb, 0.000001sec, RES=2792kb, VmSize=190040kb, 0.000026sec, 0, 15
24, 5, NAN, 1.62kb, 0.000002sec, RES=2792kb, VmSize=190040kb, 0.000026sec, 0, 31
24, 6, NAN, 3.15kb, 0.000002sec, RES=2792kb, VmSize=190040kb, 0.000030sec, 0, 63
24, 7, NAN, 6.22kb, 0.000005sec, RES=2792kb, VmSize=190040kb, 0.000031sec, 0, 127
24, 8, NAN, 12.37kb, 0.000010sec, RES=2792kb, VmSize=190040kb, 0.000035sec, 0, 255
24, 9, NAN, 24.66kb, 0.000021sec, RES=2792kb, VmSize=190040kb, 0.000047sec, 0, 511
24, 10, NAN, 49.23kb, 0.000042sec, RES=2792kb, VmSize=190040kb, 0.000068sec, 0, 1023
24, 11, NAN, 98.38kb, 0.000086sec, RES=2792kb, VmSize=190040kb, 0.000112sec, 0, 2047
24, 12, NAN, 196.69kb, 0.000236sec, RES=2792kb, VmSize=190236kb, 0.000265sec, 0, 4095
25, 1, NAN, 0.18kb, 0.000001sec, RES=2836kb, VmSize=190040kb, 0.000028sec, 0, 1
25, 2, NAN, 0.27kb, 0.000000sec, RES=2836kb, VmSize=190040kb, 0.000026sec, 0, 3
25, 3, NAN, 0.46kb, 0.000001sec, RES=2836kb, VmSize=190040kb, 0.000027sec, 0, 7
25, 4, NAN, 0.85kb, 0.000000sec, RES=2836kb, VmSize=190040kb, 0.000026sec, 0, 15
25, 5, NAN, 1.62kb, 0.000002sec, RES=2836kb, VmSize=190040kb, 0.000027sec, 0, 31
25, 6, NAN, 3.15kb, 0.000003sec, RES=2836kb, VmSize=190040kb, 0.000028sec, 0, 63
25, 7, NAN, 6.22kb, 0.000005sec, RES=2836kb, VmSize=190040kb, 0.000030sec, 0, 127
25, 8, NAN, 12.37kb, 0.000011sec, RES=2836kb, VmSize=190040kb, 0.000035sec, 0, 255
25, 9, NAN, 24.66kb, 0.000021sec, RES=2836kb, VmSize=190040kb, 0.000047sec, 0, 511
25, 10, NAN, 49.23kb, 0.000043sec, RES=2836kb, VmSize=190040kb, 0.000068sec, 0, 1023
25, 11, NAN, 98.38kb, 0.000086sec, RES=2836kb, VmSize=190040kb, 0.000110sec, 0, 2047
25, 12, NAN, 196.69kb, 0.000202sec, RES=2836kb, VmSize=190252kb, 0.000230sec, 0, 4095
26, 1, NAN, 0.18kb, 0.000000sec, RES=2836kb, VmSize=190252kb, 0.000025sec, 0, 1
26, 2, NAN, 0.27kb, 0.000000sec, RES=2836kb, VmSize=190252kb, 0.000026sec, 0, 3
26, 3, NAN, 0.46kb, 0.000000sec, RES=2836kb, VmSize=190252kb, 0.000024sec, 0, 7
26, 4, NAN, 0.85kb, 0.000001sec, RES=2836kb, VmSize=190252kb, 0.000084sec, 0, 15
26, 5, NAN, 1.62kb, 0.000002sec, RES=2836kb, VmSize=190252kb, 0.000028sec, 0, 31
