n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
24, 10, NAN, 0.00kb, 0.000050sec, RES=1388kb, VmSize=190040kb, 0.000814sec, 29657, 662
24, 11, NAN, 0.00kb, 0.000099sec, RES=1388kb, VmSize=190040kb, 0.000516sec, 15783, 914
24, 12, NAN, 0.00kb, 0.000208sec, RES=2820kb, VmSize=190040kb, 0.000434sec, 8143, 2389
25, 4, NAN, 0.00kb, 0.000002sec, RES=2820kb, VmSize=190040kb, 0.007504sec, 71862, 14
25, 5, NAN, 0.00kb, 0.000003sec, RES=2820kb, VmSize=190040kb, 0.037296sec, 1214883, 7
25, 6, NAN, 0.00kb, 0.000006sec, RES=2820kb, VmSize=190040kb, 0.010422sec, 176924, 50
25, 7, NAN, 0.00kb, 0.000009sec, RES=2820kb, VmSize=190040kb, 0.014318sec, 188508, 117
25, 8, NAN, 0.00kb, 0.000017sec, RES=2820kb, VmSize=190040kb, 0.001015sec, 10449, 35
25, 9, NAN, 0.00kb, 0.000025sec, RES=2820kb, VmSize=190040kb, 0.000642sec, 23808, 492
25, 10, NAN, 0.00kb, 0.000050sec, RES=2820kb, VmSize=190040kb, 0.001783sec, 67987, 949
25, 11, NAN, 0.00kb, 0.000098sec, RES=2820kb, VmSize=190040kb, 0.000957sec, 33187, 962
25, 12, NAN, 0.00kb, 0.000195sec, RES=2820kb, VmSize=190040kb, 0.000298sec, 3345, 1113
26, 4, NAN, 0.00kb, 0.000002sec, RES=2820kb, VmSize=190040kb, 0.061547sec, 2402481, 9
26, 5, NAN, 0.00kb, 0.000002sec, RES=2820kb, VmSize=190040kb, 0.044216sec, 1637619, 19
26, 6, NAN, 0.00kb, 0.000004sec, RES=2820kb, VmSize=190040kb, 0.026649sec, 632471, 18
26, 7, NAN, 0.00kb, 0.000008sec, RES=2820kb, VmSize=190040kb, 0.043951sec, 1119216, 77
26, 8, NAN, 0.00kb, 0.000015sec, RES=2820kb, VmSize=190040kb, 0.029095sec, 89970, 98
26, 9, NAN, 0.00kb, 0.000027sec, RES=2820kb, VmSize=190040kb, 0.026712sec, 24426, 488
26, 10, NAN, 0.00kb, 0.000050sec, RES=2820kb, VmSize=190040kb, 0.026565sec, 8756, 171
26, 11, NAN, 0.00kb, 0.000107sec, RES=2820kb, VmSize=190040kb, 0.013280sec, 38081, 556
26, 12, NAN, 0.00kb, 0.000201sec, RES=2820kb, VmSize=190040kb, 0.026557sec, 10769, 1859
26, 13, NAN, 0.00kb, 0.000444sec, RES=2820kb, VmSize=190232kb, 0.027000sec, 30555, 7392
27, 4, NAN, 0.00kb, 0.000001sec, RES=2904kb, VmSize=190068kb, 0.042247sec, 765892, 9
27, 5, NAN, 0.00kb, 0.000005sec, RES=2904kb, VmSize=190068kb, 0.143366sec, 4450398, 24
27, 6, NAN, 0.00kb, 0.000010sec, RES=2904kb, VmSize=190068kb, 0.030291sec, 642034, 2
27, 7, NAN, 0.00kb, 0.000009sec, RES=2904kb, VmSize=190068kb, 0.052583sec, 2026775, 71
27, 8, NAN, 0.00kb, 0.000016sec, RES=2904kb, VmSize=190068kb, 0.015414sec, 86299, 51
27, 9, NAN, 0.00kb, 0.000032sec, RES=2904kb, VmSize=190068kb, 0.006639sec, 152217, 436
27, 10, NAN, 0.00kb, 0.000051sec, RES=2904kb, VmSize=190068kb, 0.001550sec, 57743, 227
27, 11, NAN, 0.00kb, 0.000101sec, RES=2904kb, VmSize=190068kb, 0.000733sec, 24111, 915
27, 12, NAN, 0.00kb, 0.000195sec, RES=2904kb, VmSize=190068kb, 0.000754sec, 21091, 1178
27, 13, NAN, 0.00kb, 0.000417sec, RES=2904kb, VmSize=190232kb, 0.000622sec, 7128, 4136
28, 4, NAN, 0.00kb, 0.000002sec, RES=2904kb, VmSize=190068kb, 0.119591sec, 4689807, 13
28, 5, NAN, 0.00kb, 0.000005sec, RES=2904kb, VmSize=190068kb, 0.236261sec, 7858158, 8
28, 6, NAN, 0.00kb, 0.000005sec, RES=2904kb, VmSize=190068kb, 0.148811sec, 5149178, 54
28, 7, NAN, 0.00kb, 0.000009sec, RES=2904kb, VmSize=190068kb, 0.043211sec, 1613074, 22
28, 8, NAN, 0.00kb, 0.000014sec, RES=2904kb, VmSize=190068kb, 0.071688sec, 2705344, 176
28, 9, NAN, 0.00kb, 0.000029sec, RES=2904kb, VmSize=190068kb, 0.013744sec, 370446, 118
28, 10, NAN, 0.00kb, 0.000063sec, RES=2904kb, VmSize=190068kb, 0.003192sec, 122006, 489
28, 11, NAN, 0.00kb, 0.000102sec, RES=2904kb, VmSize=190068kb, 0.003172sec, 120723, 1374
28, 12, NAN, 0.00kb, 0.000199sec, RES=2904kb, VmSize=190068kb, 0.001114sec, 34908, 2789
28, 13, NAN, 0.00kb, 0.000420sec, RES=2904kb, VmSize=190232kb, 0.007233sec, 42518, 1791
28, 14, NAN, 0.00kb, 0.000916sec, RES=3164kb, VmSize=190404kb, 0.008125sec, 25759, 3926
29, 4, NAN, 0.00kb, 0.000003sec, RES=2904kb, VmSize=190068kb, 0.943627sec, 35300592, 8
29, 5, NAN, 0.00kb, 0.000007sec, RES=2904kb, VmSize=190068kb, 0.421729sec, 15637965, 10
29, 6, NAN, 0.00kb, 0.000007sec, RES=2904kb, VmSize=190068kb, 0.202560sec, 7513876, 47
29, 7, NAN, 0.00kb, 0.000010sec, RES=2904kb, VmSize=190068kb, 0.189093sec, 6952671, 68
29, 8, NAN, 0.00kb, 0.000014sec, RES=2904kb, VmSize=190068kb, 0.042552sec, 1534058, 9
29, 9, NAN, 0.00kb, 0.000028sec, RES=2904kb, VmSize=190068kb, 0.032446sec, 938568, 114
29, 10, NAN, 0.00kb, 0.000061sec, RES=2904kb, VmSize=190068kb, 0.011009sec, 196859, 45
29, 11, NAN, 0.00kb, 0.000107sec, RES=2904kb, VmSize=190068kb, 0.023858sec, 411510, 541
29, 12, NAN, 0.00kb, 0.000207sec, RES=2904kb, VmSize=190068kb, 0.013704sec, 83698, 619
29, 13, NAN, 0.00kb, 0.000416sec, RES=2904kb, VmSize=190236kb, 0.013012sec, 62082, 105
29, 14, NAN, 0.00kb, 0.000846sec, RES=2904kb, VmSize=190400kb, 0.009642sec, 32182, 14419
30, 4, NAN, 0.00kb, 0.000002sec, RES=2904kb, VmSize=190068kb, 0.872284sec, 32464286, 2
30, 5, NAN, 0.00kb, 0.000009sec, RES=2904kb, VmSize=190068kb, 0.138346sec, 4708745, 29
30, 6, NAN, 0.00kb, 0.000007sec, RES=2904kb, VmSize=190068kb, 0.483839sec, 16437091, 24
30, 7, NAN, 0.00kb, 0.000010sec, RES=2904kb, VmSize=190068kb, 0.200130sec, 6083387, 114
30, 8, NAN, 0.00kb, 0.000014sec, RES=2904kb, VmSize=190068kb, 0.423159sec, 15379050, 91
30, 9, NAN, 0.00kb, 0.000028sec, RES=2904kb, VmSize=190068kb, 0.027341sec, 969981, 244
30, 10, NAN, 0.00kb, 0.000059sec, RES=2904kb, VmSize=190068kb, 0.075730sec, 2563536, 48
30, 11, NAN, 0.00kb, 0.000129sec, RES=2904kb, VmSize=190068kb, 0.025191sec, 452838, 823
30, 12, NAN, 0.00kb, 0.000201sec, RES=2904kb, VmSize=190068kb, 0.003771sec, 139111, 3912
30, 13, NAN, 0.00kb, 0.000426sec, RES=2904kb, VmSize=190236kb, 0.002179sec, 68138, 1865
30, 14, NAN, 0.00kb, 0.000836sec, RES=2904kb, VmSize=190400kb, 0.001401sec, 20295, 14411
30, 15, NAN, 0.00kb, 0.001773sec, RES=3428kb, VmSize=190740kb, 0.002329sec, 20136, 9032
