n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
17, 2, NAN, 0kb, 0.000002sec, RES=9252kb, VmSize=17756kb, 0.005451sec, 11283
17, 3, NAN, 0kb, 0.000002sec, RES=9252kb, VmSize=17756kb, 0.004281sec, 8620
17, 4, NAN, 1kb, 0.000005sec, RES=9252kb, VmSize=17756kb, 0.010306sec, 21220
17, 5, NAN, 3kb, 0.000020sec, RES=9252kb, VmSize=17888kb, 0.001007sec, 1999
17, 6, NAN, 7kb, 0.000018sec, RES=9420kb, VmSize=17884kb, 0.000381sec, 683
17, 7, NAN, 14kb, 0.000036sec, RES=9420kb, VmSize=17884kb, 0.000416sec, 761
17, 8, NAN, 28kb, 0.000057sec, RES=9420kb, VmSize=17884kb, -1sec, 0
17, 9, NAN, 57kb, 0.000067sec, RES=9420kb, VmSize=17884kb, -1sec, 0
17, 10, NAN, 114kb, 0.000079sec, RES=9420kb, VmSize=18016kb, -1sec, 0
17, 11, NAN, 229kb, 0.000111sec, RES=9680kb, VmSize=18176kb, -1sec, 0
17, 12, NAN, 458kb, 0.000109sec, RES=9944kb, VmSize=18632kb, -1sec, 0
17, 13, NAN, 917kb, 0.000153sec, RES=10196kb, VmSize=19536kb, -1sec, 0
17, 14, NAN, 1835kb, 0.000247sec, RES=10976kb, VmSize=21336kb, -1sec, 0
17, 15, NAN, 3670kb, 0.000443sec, RES=12548kb, VmSize=24928kb, -1sec, 0
17, 16, NAN, 7340kb, 0.001014sec, RES=15704kb, VmSize=32104kb, -1sec, 0
18, 1, NAN, 0kb, 0.000001sec, RES=15704kb, VmSize=32104kb, 0.006016sec, 12346
18, 2, NAN, 0kb, 0.000001sec, RES=15704kb, VmSize=32104kb, 0.008409sec, 17706
18, 3, NAN, 0kb, 0.000004sec, RES=15704kb, VmSize=32104kb, 0.031173sec, 60241
18, 4, NAN, 1kb, 0.000014sec, RES=15704kb, VmSize=32236kb, 0.030255sec, 64843
18, 5, NAN, 3kb, 0.000008sec, RES=15832kb, VmSize=32232kb, 0.002965sec, 6374
18, 6, NAN, 7kb, 0.000020sec, RES=15832kb, VmSize=32232kb, 0.002233sec, 4595
18, 7, NAN, 14kb, 0.000036sec, RES=15832kb, VmSize=32232kb, 0.000905sec, 1783
18, 8, NAN, 28kb, 0.000065sec, RES=15832kb, VmSize=32232kb, 0.000111sec, 84
18, 9, NAN, 57kb, 0.000107sec, RES=15832kb, VmSize=32232kb, -1sec, 0
18, 10, NAN, 114kb, 0.000117sec, RES=15832kb, VmSize=32400kb, -1sec, 0
18, 11, NAN, 229kb, 0.000139sec, RES=15832kb, VmSize=32532kb, -1sec, 0
18, 12, NAN, 458kb, 0.000153sec, RES=16068kb, VmSize=32988kb, -1sec, 0
18, 13, NAN, 917kb, 0.000190sec, RES=16572kb, VmSize=33892kb, -1sec, 0
18, 14, NAN, 1835kb, 0.000284sec, RES=17340kb, VmSize=35692kb, -1sec, 0
18, 15, NAN, 3670kb, 0.000483sec, RES=18900kb, VmSize=39284kb, -1sec, 0
18, 16, NAN, 7340kb, 0.000886sec, RES=22044kb, VmSize=46460kb, -1sec, 0
18, 17, NAN, 14680kb, 0.001657sec, RES=28092kb, VmSize=60804kb, -1sec, 0
19, 1, NAN, 0kb, 0.000001sec, RES=28092kb, VmSize=60804kb, 0.506325sec, 1085465
19, 2, NAN, 0kb, 0.000002sec, RES=28092kb, VmSize=60804kb, 0.034956sec, 72367
19, 3, NAN, 0kb, 0.000007sec, RES=28092kb, VmSize=60804kb, 0.006013sec, 12223
19, 4, NAN, 1kb, 0.000004sec, RES=28092kb, VmSize=60804kb, 0.001207sec, 2584
19, 5, NAN, 3kb, 0.000009sec, RES=28092kb, VmSize=60804kb, 0.003173sec, 6158
19, 6, NAN, 7kb, 0.000018sec, RES=28092kb, VmSize=60804kb, 0.000024sec, 2
19, 7, NAN, 14kb, 0.000033sec, RES=28092kb, VmSize=60804kb, 0.000837sec, 1706
19, 8, NAN, 28kb, 0.000063sec, RES=28092kb, VmSize=60804kb, 0.000455sec, 834
19, 9, NAN, 57kb, 0.000125sec, RES=28092kb, VmSize=60956kb, 0.000353sec, 470
19, 10, NAN, 114kb, 0.000287sec, RES=28248kb, VmSize=60900kb, 0.000654sec, 776
19, 11, NAN, 229kb, 0.000426sec, RES=28248kb, VmSize=61032kb, -1sec, 0
19, 12, NAN, 458kb, 0.000460sec, RES=28400kb, VmSize=61488kb, -1sec, 0
19, 13, NAN, 917kb, 0.000502sec, RES=28820kb, VmSize=62392kb, -1sec, 0
19, 14, NAN, 1835kb, 0.000604sec, RES=29692kb, VmSize=64192kb, -1sec, 0
19, 15, NAN, 3670kb, 0.000942sec, RES=31236kb, VmSize=67784kb, -1sec, 0
19, 16, NAN, 7340kb, 0.001397sec, RES=34304kb, VmSize=74960kb, -1sec, 0
19, 17, NAN, 14680kb, 0.001950sec, RES=40468kb, VmSize=89304kb, -1sec, 0
19, 18, NAN, 29360kb, 0.003595sec, RES=52764kb, VmSize=117984kb, -1sec, 0
20, 1, NAN, 0kb, 0.000001sec, RES=52764kb, VmSize=117984kb, 0.070641sec, 146296
20, 2, NAN, 0kb, 0.000001sec, RES=52764kb, VmSize=117984kb, 0.247936sec, 506961
20, 3, NAN, 0kb, 0.000003sec, RES=52764kb, VmSize=117984kb, 0.001960sec, 4175
20, 4, NAN, 1kb, 0.000004sec, RES=52764kb, VmSize=117984kb, 0.016901sec, 36090
20, 5, NAN, 3kb, 0.000009sec, RES=52764kb, VmSize=117984kb, 0.003570sec, 7379
20, 6, NAN, 7kb, 0.000017sec, RES=52764kb, VmSize=117984kb, 0.016598sec, 33143
20, 7, NAN, 14kb, 0.000042sec, RES=52764kb, VmSize=117984kb, 0.003340sec, 6426
20, 8, NAN, 28kb, 0.000069sec, RES=52764kb, VmSize=117984kb, 0.001287sec, 2463
20, 9, NAN, 57kb, 0.000084sec, RES=52764kb, VmSize=118136kb, -1sec, 0
20, 10, NAN, 114kb, 0.000102sec, RES=52764kb, VmSize=118136kb, -1sec, 0
20, 11, NAN, 229kb, 0.000139sec, RES=52980kb, VmSize=118348kb, -1sec, 0
20, 12, NAN, 458kb, 0.000138sec, RES=53244kb, VmSize=118804kb, -1sec, 0
20, 13, NAN, 917kb, 0.000171sec, RES=53492kb, VmSize=119708kb, -1sec, 0
20, 14, NAN, 1835kb, 0.000267sec, RES=54268kb, VmSize=121508kb, -1sec, 0
20, 15, NAN, 3670kb, 0.000470sec, RES=55836kb, VmSize=125100kb, -1sec, 0
20, 16, NAN, 7340kb, 0.000927sec, RES=58988kb, VmSize=132276kb, -1sec, 0
20, 17, NAN, 14680kb, 0.001783sec, RES=65044kb, VmSize=146620kb, -1sec, 0
20, 18, NAN, 29360kb, 0.003098sec, RES=77436kb, VmSize=175300kb, -1sec, 0
20, 19, NAN, 58720kb, 0.006429sec, RES=101972kb, VmSize=232652kb, -1sec, 0
21, 1, NAN, 0kb, 0.000001sec, RES=101972kb, VmSize=232652kb, 0.101130sec, 207405
21, 2, NAN, 0kb, 0.000001sec, RES=101972kb, VmSize=232652kb, 0.179440sec, 380490
21, 3, NAN, 0kb, 0.000003sec, RES=101972kb, VmSize=232652kb, 0.108885sec, 222492
21, 4, NAN, 1kb, 0.000006sec, RES=101972kb, VmSize=232652kb, 0.131692sec, 271731
21, 5, NAN, 3kb, 0.000010sec, RES=101972kb, VmSize=232652kb, 0.066705sec, 143384
21, 6, NAN, 7kb, 0.000026sec, RES=101972kb, VmSize=232784kb, 0.008510sec, 17496
21, 7, NAN, 14kb, 0.000033sec, RES=102156kb, VmSize=232780kb, 0.000981sec, 1688
21, 8, NAN, 28kb, 0.000083sec, RES=102156kb, VmSize=232780kb, 0.009833sec, 19980
21, 9, NAN, 57kb, 0.000124sec, RES=102156kb, VmSize=232780kb, 0.002291sec, 4647
21, 10, NAN, 114kb, 0.000273sec, RES=102156kb, VmSize=232780kb, 0.001191sec, 1942
21, 11, NAN, 229kb, 0.000352sec, RES=102156kb, VmSize=232912kb, -1sec, 0
21, 12, NAN, 458kb, 0.000460sec, RES=102336kb, VmSize=233368kb, -1sec, 0
21, 13, NAN, 917kb, 0.000506sec, RES=102784kb, VmSize=234272kb, -1sec, 0
21, 14, NAN, 1835kb, 0.000621sec, RES=103496kb, VmSize=236072kb, -1sec, 0
21, 15, NAN, 3670kb, 0.000663sec, RES=105000kb, VmSize=239664kb, -1sec, 0
21, 16, NAN, 7340kb, 0.001022sec, RES=108088kb, VmSize=246840kb, -1sec, 0
21, 17, NAN, 14680kb, 0.001700sec, RES=114344kb, VmSize=261184kb, -1sec, 0
21, 18, NAN, 29360kb, 0.003314sec, RES=126672kb, VmSize=289864kb, -1sec, 0
21, 19, NAN, 58720kb, 0.006039sec, RES=151144kb, VmSize=347216kb, -1sec, 0
21, 20, NAN, 117440kb, 0.012231sec, RES=200432kb, VmSize=461912kb, -1sec, 0
22, 1, NAN, 0kb, 0.000001sec, RES=200432kb, VmSize=461912kb, 1.767501sec, 3480496
22, 2, NAN, 0kb, 0.000004sec, RES=200432kb, VmSize=461912kb, 0.804820sec, 1586468
22, 3, NAN, 0kb, 0.000003sec, RES=200432kb, VmSize=461912kb, 0.012456sec, 26702
22, 4, NAN, 1kb, 0.000004sec, RES=200432kb, VmSize=461912kb, 0.009996sec, 21512
22, 5, NAN, 3kb, 0.000009sec, RES=200432kb, VmSize=461912kb, 0.055777sec, 117293
22, 6, NAN, 7kb, 0.000017sec, RES=200432kb, VmSize=461912kb, 0.020937sec, 44191
22, 7, NAN, 14kb, 0.000032sec, RES=200432kb, VmSize=461912kb, 0.007223sec, 15015
22, 8, NAN, 28kb, 0.000074sec, RES=200432kb, VmSize=461912kb, 0.000444sec, 744
22, 9, NAN, 57kb, 0.000145sec, RES=200432kb, VmSize=462064kb, 0.004791sec, 9557
22, 10, NAN, 114kb, 0.000276sec, RES=200476kb, VmSize=462008kb, 0.000541sec, 521
22, 11, NAN, 229kb, 0.000461sec, RES=200476kb, VmSize=462140kb, -1sec, 0
22, 12, NAN, 458kb, 0.000467sec, RES=200628kb, VmSize=462596kb, -1sec, 0
22, 13, NAN, 917kb, 0.000512sec, RES=201048kb, VmSize=463500kb, -1sec, 0
22, 14, NAN, 1835kb, 0.000639sec, RES=201920kb, VmSize=465300kb, -1sec, 0
22, 15, NAN, 3670kb, 0.000820sec, RES=203464kb, VmSize=468892kb, -1sec, 0
22, 16, NAN, 7340kb, 0.001220sec, RES=206532kb, VmSize=476068kb, -1sec, 0
22, 17, NAN, 14680kb, 0.002028sec, RES=212696kb, VmSize=490412kb, -1sec, 0
22, 18, NAN, 29360kb, 0.003590sec, RES=224992kb, VmSize=519092kb, -1sec, 0
22, 19, NAN, 58720kb, 0.006681sec, RES=249504kb, VmSize=576444kb, -1sec, 0
22, 20, NAN, 117440kb, 0.012770sec, RES=298736kb, VmSize=691140kb, -1sec, 0
22, 21, NAN, 234881kb, 0.022708sec, RES=397048kb, VmSize=920524kb, -1sec, 0
23, 1, NAN, 0kb, 0.000001sec, RES=397048kb, VmSize=920524kb, 3.303175sec, 7090990
23, 2, NAN, 0kb, 0.000002sec, RES=397048kb, VmSize=920524kb, 0.845658sec, 1814531
23, 3, NAN, 0kb, 0.000003sec, RES=397048kb, VmSize=920524kb, 1.100974sec, 2345606
23, 4, NAN, 1kb, 0.000004sec, RES=397048kb, VmSize=920524kb, 0.150729sec, 322139
23, 5, NAN, 3kb, 0.000008sec, RES=397048kb, VmSize=920524kb, 0.005773sec, 11902
